標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
德東美寓出租,"26,000",士林區德行東路109巷4號,2房2廳2衛,30坪,4F/4F,公寓,屋主: 郭 小姐 (仲介勿擾),0988-755-646,https://img2.591.com.tw/house/2015/08/29/144083379236848809.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-7824003.html
中山北路七段華廈全新裝潢家具家電齊全,"120,000",士林區中山北路七段114巷,2房2廳2衛,30.9坪,2F/5F,電梯大樓,仲介: 蔡小姐 (收服務費),0989-239-665,https://img2.591.com.tw/house/2022/05/24/165336339990953700.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12641375.html
劍潭捷運首席電梯四大房,"85,000",士林區承德路四段79號,4房2廳2衛,71坪,5F/14F,電梯大樓,屋主: 陳小姐,0902-325-335,https://img1.591.com.tw/house/2022/05/02/165146681273204057.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12528844.html
芝山捷運百萬裝潢5樓,"40,000",士林區德行西路,3房2廳2衛,40坪,5F/5F,公寓,仲介: 周小姐 (收服務費),0980-776-985,https://img1.591.com.tw/house/2011/08/31/131480010672136209.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12534956.html
蘭雅公園(全新裝潢)優質二樓住辦,"27,000",士林區德行東路109巷,2房1廳1衛,21坪,2F/3F,公寓,仲介: 何先生 (收服務費),0933-874-565,https://img1.591.com.tw/house/2020/04/20/158735740373330818.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12588344.html
極稀有歐洲學校美軍別墅,"180,000",士林區凱旋路,6房2廳3衛,100坪,整棟/2F,別墅,屋主: 李先生,0919-189-538,https://img1.591.com.tw/house/2022/02/22/164551163421655603.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12497985.html
士林捷運採光三房+陽台,"38,000",士林區文昌路,3房2廳2衛,36.08坪,2F/7F,電梯大樓,仲介: 黃小姐 (收服務費),0979-768-229,https://img1.591.com.tw/house/2022/05/13/165243236375356504.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12589696.html
全新漂亮3+1傭人房，稀有釋出~,"160,000",士林區雨農路,4房2廳3衛,109.7坪,3F/8F,電梯大樓,仲介: 陳先生 (收服務費),0985-617-681,https://img2.591.com.tw/house/2022/05/11/165224630417187405.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12577047.html
芝山捷運電梯管理,"35,000",士林區德行西路,1房1廳1衛,9.53坪,2F/8F,電梯大樓,仲介: 林學良... (收服務費) 1筆,0912-591-363,https://img1.591.com.tw/house/2021/09/19/163203755139102909.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12616687.html
忠誠路(高島屋)景觀管理4房,"75,000",士林區忠誠路二段,4房2廳3衛,62坪,15F/17F,電梯大樓,仲介: 張小姐 (收服務費),0935-159-226,https://img2.591.com.tw/house/2022/04/01/164881481524068006.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12531211.html
@公園舒適環境.採光極佳.機能便利通風佳,"53,000",士林區華齡街,4房2廳2衛,49坪,6F/15F,電梯大樓,仲介: 陳小姐 (收服務費),0918-055-898,https://img1.591.com.tw/house/2022/05/09/165207708065606309.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12538164.html
東吳等7生4房合租電梯劍潭站,"45,500",士林區承德路四段12巷,4房2廳2衛,38坪,4F/6F,電梯大樓,屋主: 陳先生 (仲介勿擾),0919-983-968,https://img1.591.com.tw/house/2013/09/18/137948205408285204.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12614781.html
美日僑學校新光三越精緻美裝,"60,000",士林區天母東路,4房2廳2衛,55坪,3F/12F,電梯大樓,仲介: 張小姐 (收服務費),0935-159-226,https://img2.591.com.tw/house/2022/02/17/164507747381422005.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12510680.html
天母樂活近捷運百貨,"55,000",士林區中山北路六段157巷,2房1廳1衛,20坪,4F/15F,電梯大樓,屋主: Fiona,0986-851-077轉1603133,https://s.591.com.tw/build/static/house/rentDetail/images/no-img.png,https://rent.591.com.tw/rent-detail-12588882.html
靜婷推薦劍潭站明亮四房+平面大車位,"47,000",士林區承德路四段,4房2廳2衛,58.07坪,9F/12F,電梯大樓,仲介: 宋小姐 (收服務費) 1筆,0989-767-509,https://img1.591.com.tw/house/2022/03/01/164614801119031008.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12209348.html
芝山捷運站稀有一樓4房加車庫式車位,"60,000",士林區磺溪街35巷,4房2廳2衛,40坪,1F/5F,公寓,仲介: 花先生 (收服務費) 3筆,0988-071-072,https://img1.591.com.tw/house/2022/05/19/165294648416367908.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12619192.html
🍎芝山Sogo商圈電梯華廈🍎,"35,000",士林區文林路765號,3房2廳2衛,43坪,2F/11F,電梯大樓,仲介: 王小姐 (收服務費) 4筆,0905-531-075,https://img1.591.com.tw/house/2022/05/21/165311429507310901.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12628577.html
近東和公園鬧中取靜2+1房家具電全含車位,"120,000",士林區中山北路七段114巷,2房2廳2衛,53.6坪,2F/5F,電梯大樓,仲介: 蘇先生 (收服務費) 4筆,0977-782-078,https://img2.591.com.tw/house/2021/09/30/163299371123743901.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12620693.html
