標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
陽明山文化大學校園邊優質套房,"6,000",士林區光華路26巷,獨立套房,7坪,5F/7F,公寓,屋主: 顏媽媽 (仲介勿擾),0933-881-804,https://img2.591.com.tw/house/2020/07/31/159617826025727505.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12511531.html
免费葫蘆街4樓-2-3套12坪1萬4仟5,"14,500",士林區葫蘆街23巷,獨立套房,12坪,4F/5F,公寓,仲介: 林小姐...,0927-579-385,https://img1.591.com.tw/house/2022/04/26/165097755708467600.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12580008.html
外雙溪套房(限女),"12,000",士林區故宮路15巷,獨立套房,9坪,3F/4F,透天厝,屋主: 林小姐 (仲介勿擾),0930-786-232,https://img1.591.com.tw/house/2020/05/26/159050365007398109.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12593084.html
#限女生#芝山捷運站走路2分鐘,"10,000",士林區福華路,獨立套房,7坪,4F/5F,公寓,屋主: 高先生 (仲介勿擾),0921-066-445,https://img2.591.com.tw/house/2022/02/24/164567838434407403.jpeg!750x588.water2.jpeg,https://rent.591.com.tw/rent-detail-12579916.html
"瓊巷白屋,鄉村恬靜好生活(近麥當勞頂好)","15,200",士林區德行東路240巷,獨立套房,6.5坪,5F/5F,公寓,屋主: 彭太太 (仲介勿擾),0988-970-929,https://img1.591.com.tw/house/2022/04/25/165087031373545703.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12496115.html
士林傢俱家電全獨立洗衣機近捷運,"18,500",士林區安平街5巷,獨立套房,10坪,2F/2F,透天厝,屋主: 楊小姐,0986-851-077轉1602579,https://img2.591.com.tw/house/2021/05/04/162013288267095197.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12583570.html
獨立套房@生活交通便利,"13,500",士林區大南路,獨立套房,7坪,2F/4F,公寓,屋主: 林r.,0986-851-077轉1599980,https://img2.591.com.tw/house/2022/03/11/164693565079480908.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12552569.html
近士林夜市、士林捷運站、銘傳大學精緻套房,"13,500",士林區文林路,獨立套房,7坪,4F/4F,公寓,屋主: 陳小姐 (仲介勿擾),0966-561-756,https://img1.591.com.tw/house/2021/04/15/161842115014941204.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12502812.html
簽約2年每月租金只收5800元,"6,800",士林區文林路,獨立套房,6坪,8F/11F,電梯大樓,屋主: 游小姐 (仲介勿擾),02-82281727,https://img1.591.com.tw/house/2017/04/15/149223293618518403.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12466102.html
"透天舒適套房,近SOGO家樂福","12,500",士林區中山北路六段186巷,獨立套房,8坪,2F/4F,公寓,屋主: 翁小姐 (仲介勿擾),0916-133-035,https://img1.591.com.tw/house/2019/08/07/156514325819493703.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12613997.html
