標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
"士林捷運步行5分鐘,生活便利環境佳","5,950",士林區華聲街,雅房,3.5坪,2F/4F,公寓,屋主: 廖先生,0919-521-638,https://img1.591.com.tw/house/2017/07/02/149897148738273005.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-7832230.html
士林捷運站走路6分鐘.俱全雅房,"5,500",士林區後街21巷46弄1號,雅房,5坪,4F/5F,公寓,代理人: 陳小姐,0937-546-846,https://img1.591.com.tw/house/2020/06/12/159196418387035309.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12616325.html
東吳海大銘傳台北大學最愛,"6,200",士林區延平北路六段368巷,雅房,5坪,4F/4F,公寓,仲介: 蔡先生,0939-887-699,https://img2.591.com.tw/house/2021/02/17/161356501609439625.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12627884.html
4樓套房/頂加雅房*拜託仲介勿擾*,"5,800",士林區福國路15巷,雅房,3坪,頂層加蓋/4F,公寓,屋主: 劉小姐 (仲介勿擾),0907-319-688,https://img2.591.com.tw/house/2019/10/11/157077809273166904.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12631860.html
優質女子公寓，先租先贏，錯過就沒,"6,700",士林區大西路,雅房,6坪,4F/5F,公寓,屋主: 黎小姐,0928-265-653,https://img1.591.com.tw/house/2022/04/16/165009887750121181.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12607837.html
劍潭捷運10分鐘，適上班族學生，有對外窗,"8,500",士林區承德路四段58巷,雅房,5.5坪,4F/4F,公寓,屋主: Mr.黃 (仲介勿擾),0986-851-077轉1605854,https://img2.591.com.tw/house/2015/10/12/144461367049609305.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12631516.html
延北五段💯超大採光雅房出租✅限男性,"8,500",士林區延平北路五段220號,雅房,7坪,4F/4F,公寓,仲介: 劉則賢 (收服務費),0986-060-080,https://img2.591.com.tw/house/2021/01/28/161184452936037401.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12629845.html
"溫馨女學生雅房,東吳大學走路5分鐘","4,800",士林區故宮路41巷,雅房,3坪,2F/4F,公寓,屋主: 朱小姐 (仲介勿擾),0905-383-164,https://img1.591.com.tw/house/2010/06/17/127676260418734902.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12504859.html
士林捷運站雅房,"5,000",士林區中正路335巷,雅房,5坪,4F/4F,公寓,仲介: 何先生 (收服務費),0956-668-668,https://img2.591.com.tw/house/2018/12/18/154511924502616707.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12591987.html
5分鐘到士林捷運牆隔間含水電瓦斯有陽台,"7,800",士林區中山北路五段699巷,雅房,6坪,3F/4F,公寓,屋主: 施小姐 (仲介勿擾),0928-560-559,https://img1.591.com.tw/house/2022/03/01/164612512901968835.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12572570.html
近劍潭捷運雅房.押金一個月.附水費收視,"5,000",士林區華齡街17巷,雅房,5坪,B1/5F,公寓,仲介: 孟先生 (收服務費),0917-245-077,https://img1.591.com.tw/house/2022/05/17/165277477377322100.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12608109.html
士林捷運女生雅房冷暖氣廚房,"8,000",士林區大北路,雅房,7坪,4F/5F,公寓,屋主: 陳小姐 (仲介勿擾),0926-913-998,https://img1.591.com.tw/house/2018/06/25/152988818637399501.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12600634.html
劍潭捷運站客餐廳美屋,"9,000",士林區大南路,雅房,7坪,4F/4F,公寓,屋主: 那小姐 (仲介勿擾),0935-337-828,https://img1.591.com.tw/house/2022/05/06/165184110789989903.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12554365.html
鄰近捷運.士林夜市雅房出租限女,"7,000",士林區大西路,雅房,5坪,1F/4F,公寓,屋主: 洪小姐,0921-128-555,https://img2.591.com.tw/house/2022/02/21/164541683171844294.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12605380.html
可貓養-小資溫馨雅房♥小天地🥰🥰,"7,800",士林區延平北路五段,雅房,7坪,4F/4F,公寓,仲介: 潘小姐 (收服務費) 3筆,0916-244-020,https://img2.591.com.tw/house/2022/03/03/164629651469447802.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12487177.html
延平北路溫馨雅房可養貓,"7,800",士林區延平北路五段,雅房,8坪,4F/4F,公寓,仲介: 王小姐 (收服務費),0936-741-378,https://img1.591.com.tw/house/2022/03/05/164646071055847903.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12627988.html
捷運士林站雅房出租可住2人,"9,000",士林區美德街,雅房,7坪,2F/4F,公寓,仲介: 林先生 (收服務費),0966-330-808,https://img1.591.com.tw/house/2019/06/15/156058142303414908.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12591131.html
捷運士林站6坪雅房上下舖單人床,"8,000",士林區美德街,雅房,6坪,2F/4F,公寓,仲介: 林先生 (收服務費),0966-330-808,https://img1.591.com.tw/house/2018/07/29/153285842689626302.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12593881.html
捷運士林站雅房出租,"7,500",士林區美德街,雅房,4坪,2F/4F,公寓,仲介: 林先生 (收服務費),0966-330-808,https://img1.591.com.tw/house/2019/06/15/156058170088588208.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12593890.html
