標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
👑鉑斯👑百齡河濱✿小資族水電全包套房,"13,500",士林區重慶北路四段220巷,分租套房,8坪,3F/4F,公寓,仲介: 值班人... (收服務費) 193筆,02-25817208,https://img1.591.com.tw/house/2022/05/08/165199190578368900.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12560701.html
錯過可惜喔...明亮通風好房東Go,"11,600",士林區文林路,分租套房,5.6坪,3F/5F,公寓,屋主: 林先生 (仲介勿擾),0919-800-315,https://img1.591.com.tw/house/2021/05/17/162125128981401508.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12493093.html
"***坪數不誇大,雙人房設備齊全","8,200",士林區重慶北路四段49巷,分租套房,6.8坪,4F/5F,透天厝,屋主: 葉小姐,0930-623-896,https://img1.591.com.tw/house/2021/02/01/161215161912918605.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12399136.html
近捷運低樓層(3F)套房,"13,500",士林區中正路,分租套房,5坪,3F/4F,公寓,屋主: 張太太 (仲介勿擾),0986-851-077轉1599842,https://img1.591.com.tw/house/2022/04/21/165054320264987149.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12549407.html
臨近承德路四段旁機能便利全新電梯管理大套,"11,000",士林區承德路五段,分租套房,8坪,3F/7F,電梯大樓,代理人: 歐先生,0986-581-688,https://img1.591.com.tw/house/2022/04/14/164992525794127270.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12629873.html
限女性延平北路五段陽信銀行2樓,"8,800",士林區延平北路五段260號,分租套房,5坪,2F/4F,公寓,代理人: 歐先生,0986-581-688,https://img1.591.com.tw/house/2022/03/21/164786137705850266.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12629875.html
士林大南路/近夜市全新套房附家具,"9,200",士林區大南路312號,分租套房,5坪,3F/3F,公寓,屋主: 李先生,0932-921-635,https://img2.591.com.tw/house/2021/01/06/160993186195009451.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12568729.html
士林優質溫馨套房獨立洗衣機/乾溼分離,"14,000",士林區葫蘆街23巷,分租套房,8坪,4F/4F,公寓,仲介: 詹小姐 (收服務費),0981-016-850,https://img1.591.com.tw/house/2022/05/12/165234007092712003.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12583728.html
士林優質大套房/獨立洗衣機/乾溼分離,"14,000",士林區葫蘆街23巷,分租套房,8坪,4F/4F,公寓,仲介: 詹小姐 (收服務費),0981-016-850,https://img1.591.com.tw/house/2022/05/12/165232599188895005.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12582203.html
士林大套房，4樓非頂樓，安靜有窗戶視野好,"10,500",士林區大東路13號,分租套房,6坪,4F/5F,公寓,屋主: 梁先生,0933-877-599,https://img1.591.com.tw/house/2022/05/16/165268487706194874.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12548220.html
"文化麥當勞旁,安全.舒適.生活機能極佳!","9,900",士林區格致路,分租套房,4坪,3F/4F,公寓,屋主: 張小姐 (仲介勿擾),0989-861-319,https://img1.591.com.tw/house/2022/05/10/165216817646419613.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12509922.html
捷運士林站、新裝潢、機能佳F,"10,799",士林區美德街,分租套房,6坪,1F/4F,公寓,仲介: 徐先生 (收服務費),0958-189-219,https://img2.591.com.tw/house/2022/04/24/165080213188273608.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12492164.html
東吳大長房4坪6500含水電無線上網冷氣,"6,500",士林區仰德大道一段6巷81號,分租套房,4坪,3F/5F,透天厝,屋主: 張三姐,0983-229-100,https://img1.591.com.tw/house/2022/05/08/165200878105271878.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12514527.html
近泰北高中.包水網路收視.景觀佳大套房,"18,000",士林區至善路一段138巷,分租套房,17坪,1F/1F,公寓,仲介: 孟先生 (收服務費),0917-245-077,https://img2.591.com.tw/house/2022/04/25/165087676090001502.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12496793.html
近華齡街商圈一樓公寓套房附網路.第四台,"8,000",士林區華齡街17巷,分租套房,5坪,1F/5F,公寓,仲介: 孟先生 (收服務費),0917-245-077,https://img2.591.com.tw/house/2022/05/04/165164339649319206.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12539939.html
近百齡國小公寓大套房.附第四台,"8,800",士林區福港街,分租套房,6.5坪,4F/4F,公寓,仲介: 孟先生 (收服務費),0917-245-077,https://img1.591.com.tw/house/2022/05/17/165277635905731609.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12608319.html
近高島屋天母棒球場台北體院有對外窗環境優,"8,500",士林區士東路266巷,分租套房,6坪,B1/5F,公寓,屋主: 林媽媽 (仲介勿擾),0936-049-188,https://img2.591.com.tw/house/2022/05/08/165201615491935208.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-11837331.html
免费文林路5樓電梯套8坪女姓芝山捷運5分,"10,000",士林區文林路,分租套房,8坪,5F/12F,電梯大樓,仲介: 林小姐...,0927-579-385,https://img1.591.com.tw/house/2022/04/12/164977709654468603.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12593731.html
