標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
善導寺站*前後陽台*機能便利*含稅,"49,999",中正區忠孝東路一段49巷,4房2廳2衛,36.98坪,2F/5F,公寓,仲介: 黃先生 (收服務費) 15筆,0928-322-277,https://img1.591.com.tw/house/2022/05/16/165270079284082408.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12603957.html
北車捷運_屋新社區正一房_日商首選_,"33,000",中正區中華路一段,1房1廳1衛,17.34坪,12F/15F,電梯大樓,仲介: 外商租... (收服務費) 23筆,0987-988-214,https://img1.591.com.tw/house/2022/05/04/165165999366970503.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12550585.html
近仁愛路新生南路！安靜住戶單純！居家風格,"45,000",中正區連雲街6巷,2房2廳2衛,29.06坪,6F/8F,電梯大樓,仲介: 蕭先生 (收服務費) 6筆,0968-525-607,https://img2.591.com.tw/house/2021/01/20/161113530230066301.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12539046.html
古亭捷運站、雙衛浴、雙陽台、天然瓦斯,"47,000",中正區廈門街,3房2廳1衛,41.66坪,6F/11F,電梯大樓,仲介: 戴小姐 (收服務費),0963-632-323,https://img2.591.com.tw/house/2022/03/17/164745186251693400.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12639270.html
捷運北門5分鐘，最強景觀小豪宅，可寵,"40,000",中正區中華路一段,2房1廳1衛,33.79坪,8F/15F,電梯大樓,仲介: 戴小姐 (收服務費),0963-632-323,https://img1.591.com.tw/house/2022/05/12/165234128450249108.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12583869.html
古亭捷運*質感-日式現況*師大*羅斯福路,"34,999",中正區南昌路二段,2房2廳1衛,26.17坪,11F/13F,電梯大樓,仲介: 劉先生 (收服務費) 22筆,0961-567-506,https://img2.591.com.tw/house/2017/07/06/149931514751955907.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12642898.html
MRTGuting中正雙併電梯管理三房,"36,800",中正區廈門街131巷,3房2廳2衛,28坪,3F/7F,電梯大樓,仲介: 林先生 (收服務費),0911-220-334,https://img2.591.com.tw/house/2021/07/04/162539344009558604.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12642738.html
家庭合租首選🍎漂亮兩房兩廳🍎古亭站,"42,999",中正區南昌路二段,2房2廳2衛,26.07坪,11F/12F,電梯大樓,仲介: 洪先生 (收服務費),0919-336-237,https://img1.591.com.tw/house/2022/05/17/165277365939834423.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12607633.html
格局方正●有裝潢空屋●雙衛浴雙陽臺●可寵,"43,000",中正區金門街44巷,3房2廳2衛,34.68坪,4F/5F,公寓,仲介: 伍先生 (收服務費) 7筆,0989-545-075,https://img2.591.com.tw/house/2021/07/07/162562655820129207.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12635215.html
東門捷運站、格局大採光、雙衛浴、雙陽台,"46,000",中正區臨沂街71巷,3房2廳2衛,34.41坪,4F/4F,公寓,仲介: 戴小姐 (收服務費),0963-632-323,https://img1.591.com.tw/house/2022/04/06/164918099010867405.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12623751.html
