標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
全新乾溼分離大套房，近台北車站、南陽街,"20,000",中正區忠孝西路一段,獨立套房,15坪,22F/27F,電梯大樓,屋主: 賴小姐 (仲介勿擾),0912-429-918,https://img2.591.com.tw/house/2020/03/19/158463317256079107.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12487577.html
1分鐘到新光三越、台北車站商圈與台北車站,"13,000",中正區信陽街30號,獨立套房,4坪,5F/7F,電梯大樓,屋主: 郭先生 (仲介勿擾),0917-563-701,https://img2.591.com.tw/house/2022/05/11/165223754157316702.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12576117.html
靠近古亭捷運全新套房,"9,800",中正區南昌路二段164號,獨立套房,5坪,3F/5F,公寓,屋主: 許先生 (仲介勿擾),0937-458-235,https://img1.591.com.tw/house/2014/09/02/140961525205869604.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12494090.html
貓咪共居套房善導寺北車乾濕分,"24,000",中正區天津街3巷,獨立套房,10坪,1F/2F,公寓,屋主: 鄭小姐 (仲介勿擾),0972-533-575,https://img2.591.com.tw/house/2022/04/27/165104322699734900.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12506761.html
Foreigner新裝潢西門站電梯小豪宅,"24,000",中正區中華路一段,獨立套房,16坪,12F/13F,電梯大樓,屋主: 鄭小姐 (仲介勿擾),0978-172-672,https://img1.591.com.tw/house/2020/05/03/158846569864025402.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12518118.html
台北車站【五星飯店式】獨棟電梯~獨立套房,"21,000",中正區延平北路一段69巷13號,獨立套房,10坪,3F/5F,電梯大樓,屋主: 陳先生,02-25569419,https://img2.591.com.tw/house/2018/04/03/152272443497929205.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12605373.html
忠孝新生站華山旁人文薈萃大套房(可短租),"27,000",中正區八德路一段,獨立套房,10坪,2F/7F,電梯大樓,屋主: 張小姐 (仲介勿擾),0932-215-740,https://img2.591.com.tw/house/2021/03/20/161620712104626605.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12632597.html
漢口街景觀戶/一房一廳/超大陽台,"23,000",中正區漢口街一段,獨立套房,9.75坪,11F/13F,電梯大樓,仲介: 趙 芸 (收服務費) 1筆,0983-365-610,https://img1.591.com.tw/house/2022/05/11/165227119065623009.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12579771.html
水滴米窩-台北車站對面.CP值爆表套房!,"18,500",中正區忠孝西路一段50號,獨立套房,7坪,8F/27F,電梯大樓,仲介: 劉先生 (收服務費),0954-133-646,https://img2.591.com.tw/house/2022/05/22/165319155278224208.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12631620.html
東門捷運溫馨邊間套房~獨立門牌,"17,500",中正區仁愛路二段38巷,獨立套房,7坪,3F/6F,電梯大樓,仲介: 陳先生 (收服務費) 1筆,0988-601-030,https://img1.591.com.tw/house/2022/03/30/164861962532069807.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12492860.html
（簽約中暫停出租）公館台大簡約套房,"11,500",中正區汀州路三段167號,獨立套房,4坪,7F/7F,電梯大樓,代理人: 高小姐,0978-345-374,https://img2.591.com.tw/house/2022/04/27/165106187473614703.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12508580.html
台北車站捷運M3、交通生活便利,"11,000",中正區忠孝西路一段,獨立套房,6坪,6F/12F,電梯大樓,屋主: 吳先生 (仲介勿擾),0958-572-242,https://img1.591.com.tw/house/2017/09/22/150604624426621609.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12518946.html
師大商圈-溫馨小套房,"12,500",中正區羅斯福路三段,獨立套房,6坪,9F/12F,電梯大樓,屋主: 黃太太 (仲介勿擾),0912-839-793,https://img2.591.com.tw/house/2008/10/17/122423979793727808.gif!750x588.water2.gif,https://rent.591.com.tw/rent-detail-12616089.html
北車商圈全新套房酒店式公寓租金含水電網路,"40,000",中正區忠孝西路一段80號,獨立套房,9坪,21F/37F,電梯大樓,屋主: 曾小姐,0970-690-970,https://img2.591.com.tw/house/2022/03/04/164636259603840609.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12566578.html
東門美套房(歡迎屋主委託)怡靜,"14,500",中正區仁愛路二段38巷,獨立套房,6坪,3F/4F,公寓,仲介: 陳小姐 (收服務費) 2筆,0987-339-131,https://img1.591.com.tw/house/2022/05/20/165303372576560709.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12624289.html
古亭捷運旁3分鐘，高檔裝潢，飯店等級,"18,500",中正區金門街6號,獨立套房,15坪,5F/5F,透天厝,屋主: 黃先生 (仲介勿擾),0935-294-921,https://img2.591.com.tw/house/2021/02/08/161279851113819769.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12540543.html
師大保固大樓套房,"16,000",中正區羅斯福路三段,獨立套房,9坪,2F/12F,電梯大樓,仲介: 丁先生 (收服務費) 4筆,0933-726-885,https://img2.591.com.tw/house/2022/05/13/165243286024021434.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12589822.html
🎈雙捷運🔅全新套房🔅採光陽台🎈,"19,499",中正區重慶南路三段27巷,獨立套房,6坪,1F/4F,公寓,仲介: 歐先生 (收服務費),0925-363-226,https://img1.591.com.tw/house/2022/05/12/165234281750909553.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12584053.html
古亭捷運旁3分鐘全新高檔裝潢飯店等級,"16,500",中正區金門街6號,獨立套房,8坪,4F/5F,透天厝,屋主: 黃先生 (仲介勿擾),0935-294-921,https://img2.591.com.tw/house/2021/01/09/161017521246638896.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12570562.html
古亭捷運高樓景觀,"18,800",中正區羅斯福路二段,獨立套房,10坪,13F/15F,電梯大樓,代理人: 李先生,0986-851-077轉1605713,https://img1.591.com.tw/house/2022/05/21/165313932964078504.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12630392.html
中正記念堂站/冷暖氣/磁卡/專人收垃圾,"14,800",中正區南昌路一段,獨立套房,8坪,1F/3F,透天厝,屋主: 張小姐 (仲介勿擾),0986-851-077轉1599057,https://img1.591.com.tw/house/2019/05/04/155698284305211405.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12534714.html
中正紀念堂旁獨棟公寓無電梯有窗大套房,"15,000",中正區南昌路一段,獨立套房,15坪,5F/5F,公寓,代理人: 陳小姐,0989-274-203,https://img1.591.com.tw/house/2022/05/18/165284804394891895.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12612295.html
古亭站透天套房~全棟僅四戶超單純~,"16,000",中正區詔安街50巷,獨立套房,7坪,1F/2F,透天厝,屋主: Jamie (仲介勿擾),0922-873-334,https://img1.591.com.tw/house/2019/09/19/156887690524215801.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12622322.html
中正記念堂站/冷暖氣/磁卡/專人收垃圾,"14,800",中正區南昌路一段,獨立套房,8坪,1F/3F,透天厝,屋主: 張小姐 (仲介勿擾),0986-851-077轉1599056,https://img2.591.com.tw/house/2019/05/04/155698284305211405.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12534724.html
