標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
忠孝新生站2分，台北科技大學旁，限男性,"9,800",中正區濟南路二段,雅房,7坪,3F/4F,公寓,仲介: 莊先生 (收服務費),0984-390-705,https://img1.591.com.tw/house/2022/04/22/165060780173773136.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12612354.html
古亭捷運站漂亮雅房.客廳廚房可使用.限女,"10,000",中正區廈門街81巷,雅房,6坪,3F/3F,公寓,仲介: 林先生 (收服務費),0911-767-047,https://img2.591.com.tw/house/2021/12/03/163850764736070908.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12592058.html
近師大、師大夜市，近捷運台電大樓站‧,"8,500",中正區汀州路二段,雅房,4.5坪,頂層加蓋/4F,公寓,屋主: 何小姐 (仲介勿擾),0978-623-561,https://img1.591.com.tw/house/2020/09/04/159923517741916504.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12611274.html
靠近捷運站只要１分鐘,"6,500",中正區師大路,雅房,6坪,5F/5F,公寓,屋主: 李小姐,0986-851-077轉1596287,https://img2.591.com.tw/house/2010/08/24/128262148253334508.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12504884.html
公館社區大樓/找合租室友/台電帳單,"10,500",中正區思源街,雅房,5坪,3F/10F,電梯大樓,屋主: 楊先生,0975-129-603,https://img2.591.com.tw/house/2022/03/10/164690143677217470.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12557883.html
近古亭捷運站生活機能佳雅房出租限男性,"6,000",中正區金門街24巷,雅房,5.5坪,頂層加蓋/5F,公寓,屋主: 黃小姐 (仲介勿擾),0921-144-038,https://img2.591.com.tw/house/2022/05/22/165319815065665609.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12632109.html
北車西門商圈雅房特惠,"5,800",中正區武昌街一段16巷23號,雅房,5坪,3F/5F,公寓,屋主: 劉小姐,0989-711-922,https://img1.591.com.tw/house/2022/04/30/165130930674995491.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12521748.html
善導寺捷運站出六號口公園一分鐘超便利,"10,000",中正區紹興北街25號,雅房,8坪,7F/8F,電梯大樓,屋主: 胡先生 (仲介勿擾),0935-723-753,https://img2.591.com.tw/house/2014/09/16/141083996326618909.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12526811.html
近東門捷運站溫馨採光明亮雅房套房出租,"6,800",中正區新生南路一段170巷,雅房,4坪,頂層加蓋/5F,公寓,屋主: 鄭小姐 (仲介勿擾),0921-949-198,https://img2.591.com.tw/house/2022/03/19/164762249938498705.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12486221.html
東門捷運站旁採光明亮溫馨雅房出租,"12,000",中正區臨沂街,雅房,8坪,4F/4F,公寓,屋主: 張小姐 (仲介勿擾),0966-545-345,https://img1.591.com.tw/house/2022/02/21/164541915591443202.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12555888.html
"近台北商業大學，北科大,忠孝新生捷運站~","6,700",中正區濟南路二段24號,雅房,4坪,5F/5F,公寓,屋主: 陳小姐 (仲介勿擾),0919-694-008,https://img1.591.com.tw/house/2022/03/09/164683031105384606.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12628532.html
台電大樓捷運站雅房出租~限女生,"6,500",中正區汀州路三段27巷,雅房,5坪,1F/4F,公寓,屋主: 呂小姐 (仲介勿擾),0921-818-006,https://img1.591.com.tw/house/2022/05/13/165243530146204705.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12590006.html
艾登/古亭站/近燦坤/電梯大雅房/,"7,200",中正區和平西路一段,雅房,6坪,7F/11F,電梯大樓,仲介: 林先生 (收服務費),0976-152-761,https://img1.591.com.tw/house/2022/05/05/165174561605136195.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12547514.html
艾登/補習街/南陽街/近北車站/可寵,"5,000",中正區南陽街,雅房,4坪,頂層加蓋/4F,公寓,仲介: 林先生 (收服務費),0976-152-761,https://img1.591.com.tw/house/2022/01/05/164137227749366401.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12533747.html
艾登/低樓層/漢口街/近北車站/可寵,"5,000",中正區漢口街一段,雅房,4坪,2F/5F,公寓,仲介: 林先生 (收服務費),0976-152-761,https://img2.591.com.tw/house/2022/03/15/164732859021609204.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12595196.html
古亭捷運站走路6分鐘.限上班族.學生,"6,600",中正區牯嶺街,雅房,6坪,5F/5F,公寓,屋主: 陳先生 (仲介勿擾),0913-525-687,https://img1.591.com.tw/house/2021/04/29/161970248736289352.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12552385.html
(免水電瓦斯費)限男學生、補習生參見描述,"5,000",中正區重慶南路三段16巷,雅房,4坪,2F/4F,公寓,屋主: 劉太太 (仲介勿擾),0986-851-077轉1602813,https://img1.591.com.tw/house/2013/04/08/136538652834391709.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12586443.html
古亭站租期可談女雅房可炊租金含水電瓦斯,"8,000",中正區廈門街123巷,雅房,6坪,3F/5F,公寓,屋主: 金小姐 (仲介勿擾),0956-260-099,https://img1.591.com.tw/house/2017/06/13/149734343546846105.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12514057.html
