標題,租金,地址,格局,大小,樓層,型態,房東,電話,圖片url,url
★西藏路近中華路★公寓四樓分租套房★,"9,000",中正區西藏路62巷,分租套房,6.97坪,4F/4F,公寓,仲介: 顧先生 (收服務費),0916-345-986,https://img1.591.com.tw/house/2022/05/05/165173155947456906.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12545973.html
★和平西路寧波西街口★電梯溫馨單身套房★,"8,500",中正區和平西路二段32巷,分租套房,5.98坪,5F/5F,電梯大樓,仲介: 顧先生 (收服務費),0916-345-986,https://img2.591.com.tw/house/2022/05/11/165225416115222406.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12578140.html
★破盤價★和平西路寧波西街口分租套房★,"5,200",中正區和平西路二段32巷,分租套房,6.32坪,B1/5F,電梯大樓,仲介: 顧先生 (收服務費),0916-345-986,https://img2.591.com.tw/house/2022/05/19/165293989095061805.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12618140.html
"東門捷運站安靜優雅的環境,好讀書,好眠","12,000",中正區杭州南路一段131巷,分租套房,6坪,3F/4F,公寓,屋主: 劉太太,0986-851-089轉378040,https://img2.591.com.tw/house/2015/07/29/143817625701187205.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-4573879.html
東門站6分永康商圈精緻大陽台套房,"24,000",中正區臨沂街57巷,分租套房,9坪,3F/3F,透天厝,仲介: JOY... (收服務費),0938-270-181,https://img2.591.com.tw/house/2021/07/11/162601603976492208.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12644800.html
古亭捷運5分鐘二樓套房─XM2D,"10,000",中正區廈門街99巷,分租套房,7坪,2F/5F,公寓,仲介: 施先生 (收服務費),0929-899-698,https://img2.591.com.tw/house/2018/07/19/153193100062965607.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-9066425.html
中正區.超優質女生雅房.便宜釋出,"4,500",中正區中華路二段,分租套房,3坪,3F/7F,電梯大樓,仲介: 黃小姐 (收服務費),0902-551-838,https://img1.591.com.tw/house/2022/04/15/165000883217608807.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12599798.html
近北車、補習班及台大醫院*短租可*收垃圾,"13,800",中正區懷寧街,分租套房,5坪,2F/4F,透天厝,代理人: 林小姐,0968-718-206,https://img1.591.com.tw/house/2022/05/23/165327588782670178.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12636080.html
含管🔔重慶精緻美妝套房🍍奕昇黃紀縈,"23,500",中正區重慶南路三段,分租套房,6坪,6F/12F,電梯大樓,仲介: 黃小姐 (收服務費) 15筆,0910-966-452,https://img1.591.com.tw/house/2022/02/24/164569125510785803.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12606440.html
好室多🏡古亭站家庭式分套傢俱齊全,"8,800",中正區重慶南路三段132巷,分租套房,3坪,1F/5F,公寓,仲介: 柯小姐 (收服務費) 12筆,0908-527-513,https://img1.591.com.tw/house/2022/05/21/165310026319777602.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12627464.html
古亭8号出口房東在美國便宜租加賴聯絡,"10,000",中正區廈門街25巷,分租套房,11坪,4F/4F,公寓,屋主: 林先生,0920-563-910,https://img2.591.com.tw/house/2021/05/27/162205869462589346.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12369172.html
💝鉑斯💝北車商圈✓高級飯店式✓可短租,"50,000",中正區忠孝西路一段,分租套房,12坪,22F/37F,電梯大樓,仲介: 值班人... (收服務費) 181筆,02-25817208,https://img1.591.com.tw/house/2022/04/13/164983793269298406.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12592169.html
🏓鉑斯🏓京站廣場✔小資搶租✔寵物救星,"14,000",中正區忠孝西路一段,分租套房,6坪,7F/12F,電梯大樓,仲介: 值班人... (收服務費) 181筆,02-25817208,https://img1.591.com.tw/house/2021/08/12/162875230159823502.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12501023.html
🔥鉑斯🔥北車商圈✔明亮採光佳✔可乖寵,"16,000",中正區忠孝西路一段,分租套房,6坪,7F/12F,電梯大樓,仲介: 值班人... (收服務費) 181筆,02-25817208,https://img1.591.com.tw/house/2022/02/23/164559345343921707.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12550549.html
古亭捷運站旁《雙人沙發》全新套房,"12,000",中正區同安街,分租套房,7坪,4F/5F,公寓,屋主: 秦先生 (仲介勿擾),0918-189-818,https://img1.591.com.tw/house/2022/05/02/165145960621098202.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12528179.html
東門捷運站旁景觀雅緻套房出租,"15,800",中正區臨沂街75巷,分租套房,8坪,2F/4F,公寓,屋主: 黃小姐 (仲介勿擾),0966-545-345,https://img1.591.com.tw/house/2022/03/20/164774249463231808.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12543810.html
公館溫馨小套房,"9,500",中正區羅斯福路四段40巷10號,分租套房,6坪,1F/1F,公寓,屋主: 林先生 (仲介勿擾),0987-943-963,https://img1.591.com.tw/house/2019/12/04/157546738373860806.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12597679.html
台大/台科大/公館/思源街/羅斯福路,"15,000",中正區汀州路三段145號,分租套房,8坪,頂層加蓋/4F,公寓,仲介: 陳先生 (收服務費),0935-555-178,https://img1.591.com.tw/house/2021/01/02/160955809959090004.jpg!750x588.water2.jpg,https://rent.591.com.tw/rent-detail-12575648.html
